seqFluxo,seqEtapa,codEtapa,etapa,codFormulario,formulario,dataCriacao,dataExeInicio,dataExeFim,codExecutor,executor,status,origem,tempoTotal,tempoInicioFim,tempoParaIniciar,sequencia,grupoEtapa,codBeneficiario,beneficiario,codFormularioCampo,nomeCampo,legenda,ordemFilho,codFormularioCampoFilho,codCampo,valor,valorDominio,nomeCampoFilho,legendaCampoFilho,codCampoFilho,fluxo,statusFluxo,servico
501114,1504965,20390,REVISÃO,14579,FOR_ALVARA_BD_CADASTRO,2024-12-13 10:45:13,2025-10-15 09:37:07,2025-10-16 14:52:49,52948,ANA PAULA COSTA OLIVEIRA,2,0.0,13,47,5,2,1,,,327440,INSTRUCOES,Descrição do campo INSTRUCOES,0.0,327488.0,9,"Público - (público em geral, incluindo cidadãos e empresas)",,,,,FLX_CADASTRO_DE_CARTA_DE_SERVIÇO,2,CADASTRO DE CARTA DE SERVIÇO
505267,1500400,20390,REVISÃO,14572,FOR_ALVARA_BD_CADASTRO,2024-06-01 10:47:59,2025-04-03 09:39:53,2025-04-04 14:55:35,50430,MARIA FERNANDA SANTOS PERES,2,0.0,48,25,2,3,2,,,326865,INSTRUCOES,Descrição do campo INSTRUCOES,0.0,327595.0,8,Online,,,,,FLX_CADASTRO_DE_CARTA_DE_SERVIÇO,2,CADASTRO DE CARTA DE SERVIÇO
503784,1501389,20390,REVISÃO,14577,FOR_ALVARA_BD_CADASTRO,2024-10-01 09:41:27,2025-08-03 08:33:21,2025-08-04 13:49:03,51207,JOÃO CARLOS SILVA,2,0.0,33,9,5,2,1,,,326649,PESSOA_JURIDICA,Descrição do campo PESSOA_JURIDICA,0.0,,2,Não,,,,,FLX_CADASTRO_DE_CARTA_DE_SERVIÇO,2,CADASTRO DE CARTA DE SERVIÇO
508441,1500692,20390,REVISÃO,14580,FOR_ALVARA_BD_CADASTRO,2024-04-03 10:34:02,2025-02-03 09:25:56,2025-02-04 14:41:38,51639,JOÃO CARLOS SILVA,2,0.0,41,36,8,3,2,,,326900,PESSOA_JURIDICA,Descrição do campo PESSOA_JURIDICA,0.0,,5,Rejeitado,,,,,FLX_CADASTRO_DE_CARTA_DE_SERVIÇO,2,CADASTRO DE CARTA DE SERVIÇO
501174,1502226,20390,REVISÃO,14580,FOR_ALVARA_BD_CADASTRO,2024-06-28 11:17:10,2025-04-30 10:09:04,2025-05-01 15:24:46,52897,ANA PAULA COSTA OLIVEIRA,2,0.0,46,40,20,3,2,,,326911,PESSOA_JURIDICA,Descrição do campo PESSOA_JURIDICA,0.0,327100.0,4,Valor_PESSOA_JURIDICA_2,,,,,FLX_CADASTRO_DE_CARTA_DE_SERVIÇO,2,CADASTRO DE CARTA DE SERVIÇO
509907,1504253,20390,REVISÃO,14573,FOR_ALVARA_BD_CADASTRO,2024-01-02 08:37:30,2024-11-03 07:29:24,2024-11-04 12:45:06,52347,ANA PAULA COSTA OLIVEIRA,2,0.0,6,20,18,5,3,,,326616,PESSOA_JURIDICA,Descrição do campo PESSOA_JURIDICA,0.0,327644.0,2,Rejeitado,,,,,FLX_CADASTRO_DE_CARTA_DE_SERVIÇO,2,CADASTRO DE CARTA DE SERVIÇO
505001,1504101,20390,REVISÃO,14580,FOR_ALVARA_BD_CADASTRO,2024-02-18 11:32:16,2024-12-20 10:24:10,2024-12-21 15:39:52,52335,ANA PAULA COSTA OLIVEIRA,2,0.0,50,5,17,5,3,,,327267,PESSOA_JURIDICA,Descrição do campo PESSOA_JURIDICA,0.0,,1,"Público - (público em geral, incluindo cidadãos e empresas)",,,,,FLX_CADASTRO_DE_CARTA_DE_SERVIÇO,2,CADASTRO DE CARTA DE SERVIÇO
501863,1500944,20390,REVISÃO,14573,FOR_ALVARA_BD_CADASTRO,2024-07-14 17:38:41,2025-05-16 16:30:35,2025-05-17 21:46:17,52718,ANA PAULA COSTA OLIVEIRA,2,0.0,4,43,3,3,1,,,327020,REQUISITOS,Descrição do campo REQUISITOS,0.0,327583.0,6,Rejeitado,,,,,FLX_CADASTRO_DE_CARTA_DE_SERVIÇO,2,CADASTRO DE CARTA DE SERVIÇO
503945,1500176,20390,REVISÃO,14574,FOR_ALVARA_BD_CADASTRO,2024-07-14 13:25:44,2025-05-16 12:17:38,2025-05-17 17:33:20,51183,JOÃO CARLOS SILVA,2,0.0,32,20,11,3,2,,,327197,UORG_ENTIDADE_SUB,Descrição do campo UORG_ENTIDADE_SUB,0.0,,9,Sim,,,,,FLX_CADASTRO_DE_CARTA_DE_SERVIÇO,2,CADASTRO DE CARTA DE SERVIÇO
503469,1502711,20390,REVISÃO,14573,FOR_ALVARA_BD_CADASTRO,2024-01-23 16:42:45,2024-11-24 15:34:39,2024-11-25 20:50:21,52330,ANA PAULA COSTA OLIVEIRA,2,0.0,43,29,13,4,2,,,326920,UORG_ENTIDADE_SUB,Descrição do campo UORG_ENTIDADE_SUB,0.0,,2,Sim,,,,,FLX_CADASTRO_DE_CARTA_DE_SERVIÇO,2,CADASTRO DE CARTA DE SERVIÇO
